,0
0,0
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,0
52,0
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,1
84,0
85,0
86,0
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,0
117,0
118,0
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,0
152,0
153,0
154,0
155,0
156,0
157,1
158,1
159,1
160,1
161,1
162,0
163,0
164,0
165,0
166,0
167,1
168,0
169,1
170,0
171,0
172,0
173,0
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,0
187,0
188,1
189,0
190,0
191,0
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,0
203,1
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,1
243,0
244,1
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,0
296,1
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,0
316,0
317,0
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,0
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,1
399,1
400,1
401,1
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,1
414,1
415,1
416,1
417,1
418,0
419,0
420,1
421,1
422,1
423,1
424,1
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,1
469,1
470,1
471,1
472,1
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,1
481,0
482,0
483,0
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,0
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,0
523,0
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,0
557,0
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,0
588,0
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,0
598,0
599,0
600,0
601,0
602,0
603,1
604,1
605,1
606,1
607,1
608,1
609,0
610,0
611,0
612,0
613,0
614,1
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,0
659,0
660,0
661,0
662,0
663,1
664,1
665,1
666,1
667,1
668,0
669,1
670,1
671,1
672,1
673,1
674,0
675,0
676,0
677,0
678,1
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,1
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,1
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,0
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,0
744,0
745,0
746,0
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,1
756,0
757,1
758,0
759,0
760,0
761,1
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,1
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,1
808,0
809,1
810,1
811,1
812,1
813,1
814,1
815,1
816,1
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,1
825,1
826,1
827,0
828,0
829,0
830,0
831,0
832,0
833,1
834,0
835,1
836,1
837,1
838,1
839,1
840,1
841,1
842,1
843,1
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,1
852,0
853,0
854,0
855,1
856,1
857,1
858,1
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,1
867,0
868,1
869,0
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,0
878,1
879,1
880,1
881,1
882,1
883,1
884,1
885,1
886,1
887,1
888,1
889,1
890,1
891,1
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,1
910,1
911,0
912,0
913,1
914,1
915,1
916,1
917,1
918,1
919,1
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,1
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,1
977,1
978,1
979,1
980,1
981,1
982,1
983,1
984,1
985,1
986,1
987,1
988,1
989,1
990,0
991,0
992,0
993,0
994,0
995,1
996,1
997,1
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,1
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,1
1026,1
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
